date,market,level,side,match,pinn_fair_odds,pinn_vig,best_book,best_price,value,won
2025-09-06,Home/Away,tour,Home,M. Okalova vs M. Matoula,2.3333,0.0417,Unibet,2.28,-0.02286,true
2025-09-06,Home/Away,tour,Away,M. Okalova vs M. Matoula,1.75,0.0417,Betfair,1.67,-0.04571,false
2025-09-06,Home/Away (1st Set),tour,Home,M. Okalova vs M. Matoula,2.1989,0.0421,10Bet,2.15,-0.02222,true
2025-09-06,Home/Away (1st Set),tour,Away,M. Okalova vs M. Matoula,1.8341,0.0421,Betfair,1.73,-0.05677,false
2025-09-06,Home/Away,tour,Home,T. Pedretti vs V. Bosio,1.4897,0.0418,Unibet,1.47,-0.01324,true
2025-09-06,Home/Away,tour,Away,T. Pedretti vs V. Bosio,3.042,0.0418,Betway,3,-0.01379,false
2025-09-06,Home/Away (1st Set),tour,Home,T. Pedretti vs V. Bosio,1.5824,0.041,Betfair,1.57,-0.00782,true
2025-09-06,Home/Away (1st Set),tour,Away,T. Pedretti vs V. Bosio,2.7171,0.041,Betway,2.6,-0.0431,false
2025-09-06,Home/Away,tour,Home,P. Rivoli vs M. Tona,5.1765,0.0415,bet365,5,-0.03409,false
2025-09-06,Home/Away,tour,Away,P. Rivoli vs M. Tona,1.2394,0.0415,bwin,1.2,-0.03182,true
2025-09-06,Home/Away (1st Set),tour,Home,P. Rivoli vs M. Tona,3.8605,0.0462,Betway,3.8,-0.01566,false
2025-09-06,Home/Away (1st Set),tour,Away,P. Rivoli vs M. Tona,1.3496,0.0462,1xBet,1.34,-0.00711,true
2025-09-06,Home/Away,tour,Home,L. Tran vs N. Zeballos,1.6695,0.0434,Superbet,1.61,-0.03561,true
2025-09-06,Home/Away,tour,Away,L. Tran vs N. Zeballos,2.4938,0.0434,Fonbet,2.4,-0.03759,false
2025-09-06,Home/Away (1st Set),tour,Home,L. Tran vs N. Zeballos,1.7237,0.0447,1xBet,1.68,-0.02534,false
2025-09-06,Home/Away (1st Set),tour,Away,L. Tran vs N. Zeballos,2.3818,0.0447,bet365,2.2,-0.07634,true
2025-09-06,Home/Away,tour,Home,E. Bektas vs D. Vidmanova,2.9792,0.0453,Unibet,2.8,-0.06014,false
